,Step,progressing_init_count,hold_stage1_count,progressing_stage1_count,hold_stage2_count,progressing_stage2_count,hold_stage21_count,progressing_stage21_count,hold_stage211_count,progressing_stage211_count,hold_stage22_count,progressing_stage22_count,hold_stage23_count,progressing_stage23_count,hold_stage231_count,progressing_stage231_count,hold_stage3_count,progressing_stage3_count,hold_stage31_count,progressing_stage31_count,hold_stage32_count,progressing_stage32_count,hold_stage33_count,progressing_stage33_count,complete_restream_count,complete_training_pathway2_complete_count,complete_training_pathway3_complete_count,left_stage1_count,left_stage2_count,left_stage22_count,left_stage23_count,left_stage33_count,left_stage231_count,left_stage21_count,left_stage31_count,left_stage32_count,progressing_stage1_exit_count,param_init_new_trainees,param_stage1_drop_out_progressing,param_stage1_capacity_progressing,param_stage1_time_progressing,param_stage2_drop_out_progressing,param_stage2_capacity_progressing,param_stage2_time_progressing,left_Stage.INIT_count,left_Stage.STAGE1_count
16,16,11.0,153.0,15.8,2.6,6.4,0.0,8.0,0.0,1.6,0.0,1.0,0.0,0.4,0.8,5.4,0.8,1.4,0.0,0.4,0.6,2.2,0.2,0.4,20.8,22.2,6.2,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
17,17,11.0,162.0,16.4,1.4,7.0,0.0,4.4,0.6,1.6,0.6,0.8,0.2,0.4,0.0,3.0,1.6,0.4,0.0,0.4,1.2,2.0,0.4,0.2,24.2,25.4,6.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,1.4,11,0.1,2,9,0.2,2,6,0,0
18,18,11.0,171.0,17.0,1.2,7.6,0.2,4.4,0.6,1.6,0.0,1.4,0.2,0.2,0.4,1.4,0.4,1.6,0.2,0.0,0.0,1.2,0.6,0.2,24.4,27.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,11,0.1,2,9,0.2,2,6,0,0
19,19,11.0,180.0,17.4,1.2,8.8,0.0,4.6,0.0,0.6,0.0,1.4,0.0,0.4,0.4,1.4,0.8,1.6,0.2,0.0,0.0,1.2,0.0,0.6,24.4,27.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,11,0.1,2,9,0.2,2,6,0,0
20,20,11.0,189.0,17.8,1.0,8.8,0.2,2.6,0.4,0.6,0.4,1.4,0.4,0.4,0.0,1.8,0.6,0.8,0.0,0.2,1.0,0.0,0.6,0.6,26.2,27.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,11,0.1,2,9,0.2,2,6,0,0
21,21,11.0,198.0,17.8,2.6,7.4,0.2,2.6,0.4,0.6,1.2,0.8,0.6,0.4,0.0,1.8,1.0,0.8,0.0,0.2,1.0,0.0,0.0,0.6,26.6,27.0,6.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
22,22,11.0,207.0,18.0,4.4,5.4,0.2,2.8,0.0,0.4,1.6,0.8,0.2,1.0,0.0,1.8,0.0,1.0,0.0,0.2,0.8,1.0,0.0,0.4,27.8,27.0,6.6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
23,23,11.0,216.0,18.0,3.4,5.6,0.6,2.2,0.2,0.4,0.2,2.4,0.6,1.0,0.0,1.2,1.0,1.0,0.0,0.2,0.8,1.0,0.0,0.0,29.0,27.6,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
24,24,11.0,225.0,18.0,2.6,6.4,0.8,2.2,0.2,0.4,0.0,2.6,0.4,1.4,0.2,1.2,0.8,1.0,0.0,0.2,0.6,0.8,0.4,0.0,29.6,27.6,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
25,25,11.0,234.0,17.4,3.2,3.4,0.4,3.0,0.0,0.2,0.2,2.2,0.0,1.6,0.2,0.6,1.0,1.8,0.0,0.2,0.6,0.6,0.0,0.4,29.8,28.4,6.6,1.0,2.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,1.6,11,0.1,2,9,0.2,2,6,0,0
